District,Block,Population,Literacy_Rate,Rural_Percentage,No_of_Schools,Dropout_Rate,Lat,Long
Ariyalur,Block_1516,476992,84.6,0,76,12.4,11.6159,76.6924
Theni,Block_1517,275141,82.4,53,182,9.3,8.6088,80.3473
Theni,Block_1518,416751,76.0,23,81,6.6,8.3823,76.9876
Trichy,Block_1519,263504,76.3,45,167,12.1,13.4358,80.299
Thanjavur,Block_1520,352638,87.0,70,121,7.3,13.4344,77.4481
Cuddalore,Block_1521,112413,89.5,43,153,8.1,12.7144,76.9175
Tiruvallur,Block_1522,489674,76.0,18,153,8.5,11.7922,78.7174
Virudhunagar,Block_1523,436334,87.9,7,166,9.4,10.3069,78.8977
Karur,Block_1524,177723,76.2,0,68,8.0,9.4742,77.9081
Vellore,Block_1525,266221,88.3,67,75,4.5,8.827,78.6882
Tirunelveli,Block_1526,378781,76.3,20,38,13.0,8.7172,80.0797
Ariyalur,Block_1527,115636,77.1,18,58,5.6,13.1325,77.1621
Vellore,Block_1528,103806,80.4,36,54,13.9,13.3348,77.4184
Tirunelveli,Block_1529,192932,75.6,33,107,7.0,8.4677,76.506
Tiruppur,Block_1530,152159,73.0,73,138,10.1,12.3759,79.9757
Theni,Block_1531,334557,86.3,18,103,11.5,10.3178,80.0476
Nilgiris,Block_1532,78893,89.2,2,100,9.8,10.0713,78.5404
Namakkal,Block_1533,249557,82.1,41,196,13.3,10.7139,77.7544
Thanjavur,Block_1534,59072,85.2,79,133,11.0,9.9581,79.4184
Vellore,Block_1535,209698,86.3,2,180,10.8,12.7014,79.2616
Cuddalore,Block_1536,320389,83.5,8,40,10.8,10.7989,77.7866
Salem,Block_1537,224777,87.0,52,135,10.4,8.9253,79.4604
Sivagangai,Block_1538,116842,74.0,72,45,12.9,11.8246,77.2689
Ariyalur,Block_1539,473323,66.2,22,177,9.5,12.7549,78.3201
Vellore,Block_1540,448078,69.6,40,86,7.8,12.5208,78.4576
Ariyalur,Block_1541,487566,65.4,69,146,13.6,10.641,79.0337
Tiruvallur,Block_1542,266063,70.6,17,159,11.6,9.9244,77.2021
Karur,Block_1543,418814,72.7,48,127,11.9,12.7908,76.4509
Virudhunagar,Block_1544,391222,67.6,9,134,7.7,11.3959,78.7015
Krishnagiri,Block_1545,492234,74.3,78,146,6.1,13.3813,76.1437
Tiruvarur,Block_1546,184323,78.5,53,36,6.6,11.0689,76.9319
Krishnagiri,Block_1547,400935,81.9,4,32,4.5,11.9147,80.214
Tirunelveli,Block_1548,143015,81.0,17,119,6.9,11.452,77.218
Viluppuram,Block_1549,457556,80.1,47,191,3.3,10.0743,79.2342
Ariyalur,Block_1550,189203,70.3,4,86,3.5,10.3252,80.1996
Erode,Block_1551,398116,68.0,69,159,7.1,8.9741,78.5221
Nilgiris,Block_1552,286359,86.5,0,128,14.0,10.6278,78.2086
Dindigul,Block_1553,481543,84.2,39,141,3.6,9.8016,78.4723
Kanchipuram,Block_1554,270137,91.9,40,117,12.7,13.4133,78.5743
Pudukkottai,Block_1555,93396,87.8,38,195,3.1,9.7188,77.4905
Nagapattinam,Block_1556,346496,77.2,25,181,11.6,12.7454,80.374
Perambalur,Block_1557,187700,69.9,74,95,8.7,11.6105,77.4588
Ariyalur,Block_1558,209977,89.4,31,21,13.6,13.2562,77.3228
Dindigul,Block_1559,155832,86.4,7,176,12.3,12.5682,76.1503
Nagapattinam,Block_1560,164512,90.1,63,34,10.4,9.9052,78.4034
Madurai,Block_1561,463107,83.0,44,153,12.1,8.6629,77.8661
Namakkal,Block_1562,327230,85.7,48,101,6.1,11.6637,79.6361
Salem,Block_1563,265011,88.3,49,196,7.0,11.1377,78.113
Kanchipuram,Block_1564,259807,77.2,52,191,14.7,11.6072,77.2024
Ramanathapuram,Block_1565,315181,67.8,62,115,3.8,12.3911,77.0734
Ramanathapuram,Block_1566,411388,74.7,74,39,3.1,10.9091,79.6157
Sivagangai,Block_1567,239918,84.6,1,68,8.4,12.8355,79.9762
Viluppuram,Block_1568,193042,75.5,22,156,6.2,11.3201,77.012
Coimbatore,Block_1569,235783,74.4,28,160,4.3,9.8233,76.3666
Krishnagiri,Block_1570,341333,77.6,57,153,9.8,11.5991,78.4736
Madurai,Block_1571,339367,84.0,46,54,4.0,11.6748,78.0829
Tiruppur,Block_1572,130289,78.6,55,194,6.8,11.8696,78.5402
Tiruppur,Block_1573,435033,82.7,27,122,6.6,9.8907,78.7275
Nagapattinam,Block_1574,278815,88.5,38,200,10.2,8.6842,77.4895
Nagapattinam,Block_1575,365722,84.1,16,66,5.2,9.1795,80.0536
Coimbatore,Block_1576,62536,67.4,76,78,4.0,9.1052,77.355
Erode,Block_1577,271403,86.3,10,49,12.6,11.488,77.6562
Tiruvallur,Block_1578,58864,73.1,59,127,5.1,11.4775,79.0167
Ramanathapuram,Block_1579,96792,85.2,3,178,14.5,9.0742,76.3919
Thanjavur,Block_1580,237942,68.6,19,186,13.6,9.9428,79.9003
Kanchipuram,Block_1581,432270,88.2,79,111,6.7,10.3966,76.1084
Trichy,Block_1582,174563,78.5,10,155,7.0,8.0762,80.3622
Tirunelveli,Block_1583,363972,82.1,2,118,3.4,12.9932,80.4142
Namakkal,Block_1584,344548,67.2,7,47,8.8,11.9363,76.5211
Trichy,Block_1585,492741,76.2,22,100,12.9,8.8088,79.1952
Thoothukudi,Block_1586,442768,88.9,52,185,12.9,11.4669,78.7147
Karur,Block_1587,91128,89.1,1,51,11.6,11.9768,80.2502
Kanchipuram,Block_1588,155280,81.5,34,182,12.2,12.4518,77.4661
Nagapattinam,Block_1589,295242,83.8,29,147,11.6,8.515,76.0326
Virudhunagar,Block_1590,496344,79.4,41,151,11.4,10.0417,79.0831
Pudukkottai,Block_1591,340549,73.8,5,191,5.6,8.2681,77.696
Vellore,Block_1592,458307,66.6,67,65,4.8,12.1847,76.7873
Namakkal,Block_1593,376815,66.7,44,69,7.8,8.4371,79.3801
Tirunelveli,Block_1594,256301,74.9,62,59,7.5,8.359,76.3952
Krishnagiri,Block_1595,216399,78.9,15,112,10.4,8.7309,76.5569
Tiruppur,Block_1596,348476,74.7,68,100,8.4,12.7123,76.5038
Chennai,Block_1597,249183,68.1,9,64,8.9,9.394,77.224
Dindigul,Block_1598,188062,75.7,5,35,11.3,12.2646,77.9392
Tirunelveli,Block_1599,318717,68.6,78,32,6.1,12.9813,80.377
Cuddalore,Block_1600,102679,76.3,66,63,4.0,10.2934,79.3263
Salem,Block_1601,146602,78.3,51,46,10.3,12.757,76.4299
Karur,Block_1602,89756,69.3,8,166,6.6,12.3821,77.1087
Thoothukudi,Block_1603,456766,88.0,18,168,6.2,9.3473,79.2944
Thoothukudi,Block_1604,383614,71.0,5,127,7.4,9.6402,77.1784
Dindigul,Block_1605,162739,74.8,32,57,14.4,11.4374,77.3582
Ramanathapuram,Block_1606,140882,74.3,59,177,12.4,9.0208,77.3483
Dindigul,Block_1607,216051,87.2,14,45,3.5,12.41,78.5287
Dindigul,Block_1608,471776,83.8,33,29,8.9,11.1225,79.9039
Kanchipuram,Block_1609,260466,67.1,61,185,7.2,9.6317,79.5011
Tiruppur,Block_1610,431388,71.4,60,189,7.9,11.1237,80.4135
Thoothukudi,Block_1611,187846,83.8,21,38,4.8,8.1391,77.6106
Karur,Block_1612,356242,84.3,47,66,4.3,10.6969,76.1185
Tiruvallur,Block_1613,327019,88.6,73,187,10.9,11.0233,78.9806
Chennai,Block_1614,417390,86.3,0,87,9.9,10.277,80.238
Viluppuram,Block_1615,368973,83.5,80,165,4.7,10.1509,78.7756
Salem,Block_1616,411156,69.8,26,79,8.3,12.163,79.7229
Karur,Block_1617,231814,71.2,34,50,14.0,11.1143,79.325
Chennai,Block_1618,265378,68.0,13,150,9.8,10.9858,77.0249
Coimbatore,Block_1619,232202,84.7,17,124,5.1,8.7628,78.5091
Erode,Block_1620,303219,84.5,40,187,3.5,10.5441,77.3453
Kanchipuram,Block_1621,465676,89.1,41,49,5.9,10.2496,79.9063
Tiruvarur,Block_1622,430559,70.0,19,49,8.3,10.5765,77.1153
Kanchipuram,Block_1623,276914,86.2,10,101,14.3,12.5405,77.6315
Tiruppur,Block_1624,436249,74.1,40,200,14.9,11.0615,76.2407
Kanchipuram,Block_1625,157031,81.9,39,130,6.6,11.6,77.923
Vellore,Block_1626,162472,87.1,68,143,6.1,11.0096,78.0864
Dindigul,Block_1627,250617,72.1,32,140,7.9,8.7665,79.2637
Namakkal,Block_1628,271799,86.1,71,126,7.3,10.1879,76.1111
Tiruvallur,Block_1629,421146,91.9,66,22,10.6,13.4094,80.0939
Cuddalore,Block_1630,65319,91.2,77,94,7.2,8.0956,79.3404
Sivagangai,Block_1631,268070,69.9,29,151,3.5,8.1594,76.1303
Thoothukudi,Block_1632,171034,85.3,39,77,8.3,12.4057,76.406
Tiruppur,Block_1633,421413,77.9,18,22,5.7,9.5733,79.2138
Cuddalore,Block_1634,62977,77.1,29,185,4.4,8.9225,78.1312
Cuddalore,Block_1635,277483,85.8,5,25,6.6,13.0034,79.2672
Nagapattinam,Block_1636,497630,82.9,63,186,13.2,8.5545,77.1558
Thanjavur,Block_1637,338338,82.3,40,100,4.7,12.5847,77.2274
Dindigul,Block_1638,216709,76.0,68,196,7.7,8.0382,76.5706
Trichy,Block_1639,76110,69.6,59,137,11.3,11.8887,79.5927
Tiruppur,Block_1640,354274,75.1,52,157,11.0,12.1127,77.0845
Tiruvarur,Block_1641,429593,81.7,12,123,5.0,12.8451,80.3613
Cuddalore,Block_1642,87454,85.5,62,122,5.4,11.7108,77.2867
Trichy,Block_1643,176835,74.4,36,107,9.1,8.659,78.2514
Cuddalore,Block_1644,447296,72.5,45,141,7.1,10.9195,77.7037
Madurai,Block_1645,177611,67.9,42,176,12.1,10.0442,76.0885
Thoothukudi,Block_1646,74019,70.3,10,32,10.7,11.1952,79.4847
Thanjavur,Block_1647,293721,73.1,53,96,3.9,9.1951,76.2348
Thoothukudi,Block_1648,447897,71.0,48,189,8.5,12.8425,76.9563
Sivagangai,Block_1649,159008,67.5,43,191,14.6,10.1119,80.4936
Thanjavur,Block_1650,253173,76.2,72,170,9.7,10.6297,77.0317
Tiruvarur,Block_1651,119199,76.2,24,178,11.1,9.3044,77.2895
Tirunelveli,Block_1652,155520,76.6,41,127,4.6,8.2968,78.3883
Virudhunagar,Block_1653,492249,77.8,22,100,10.1,10.5605,78.2459
Nagapattinam,Block_1654,255007,72.8,6,146,11.3,8.8244,76.4709
Coimbatore,Block_1655,229577,73.0,37,165,3.2,12.7161,79.2085
Dindigul,Block_1656,154860,81.1,76,23,9.9,9.2373,78.4141
Chennai,Block_1657,316748,65.0,34,127,11.4,11.3877,79.036
Madurai,Block_1658,385735,87.0,23,38,6.4,9.7381,77.3669
Nagapattinam,Block_1659,125325,87.1,26,171,6.3,9.0693,76.594
Thoothukudi,Block_1660,396069,83.1,20,182,4.5,8.4512,78.7515
Krishnagiri,Block_1661,472676,74.2,42,64,13.4,12.6126,79.4545
Krishnagiri,Block_1662,59191,91.6,50,132,10.9,10.9726,77.9955
Pudukkottai,Block_1663,343510,69.9,70,120,7.1,12.488,79.1993
Thanjavur,Block_1664,120845,89.2,62,27,7.9,11.8043,78.8651
Madurai,Block_1665,100604,72.5,17,44,5.4,12.5291,80.1908
Chennai,Block_1666,429819,74.9,55,120,4.4,11.7721,79.8484
Viluppuram,Block_1667,88456,66.3,72,62,3.1,11.676,80.3797
Nilgiris,Block_1668,185266,71.1,49,192,8.0,11.0647,77.3399
Madurai,Block_1669,312532,80.2,73,90,6.6,10.9085,80.4708
Vellore,Block_1670,380888,67.2,59,141,9.7,9.1792,80.2186
Madurai,Block_1671,99736,79.7,74,56,11.5,11.0072,77.3064
Nagapattinam,Block_1672,239816,83.1,35,61,5.2,8.9453,76.3395
Nagapattinam,Block_1673,334100,91.4,61,142,13.1,10.3783,77.6063
Dindigul,Block_1674,228933,83.7,15,48,5.5,11.1374,79.3269
Krishnagiri,Block_1675,101028,89.3,70,193,13.4,9.7714,79.9574
Sivagangai,Block_1676,245038,72.5,42,100,9.1,10.8943,78.9004
Madurai,Block_1677,182711,84.3,14,93,10.1,13.4651,78.2562
Cuddalore,Block_1678,236428,83.0,10,196,6.9,8.1683,80.1258
Pudukkottai,Block_1679,499252,83.9,62,98,8.6,8.9825,80.1496
Tiruvarur,Block_1680,364517,79.3,11,186,10.7,11.0827,76.7651
Karur,Block_1681,196167,80.4,4,95,4.0,12.2404,77.2984
Thoothukudi,Block_1682,156737,71.8,38,67,12.6,9.5388,79.4371
Salem,Block_1683,118291,80.9,58,154,14.8,8.2243,78.0105
Tirunelveli,Block_1684,151813,91.9,42,107,7.9,13.3457,79.1306
Thanjavur,Block_1685,403996,85.5,46,85,4.8,11.7622,77.9828
Karur,Block_1686,360984,77.9,61,78,4.7,9.8034,78.0316
Kanchipuram,Block_1687,112357,85.0,60,95,7.3,10.8772,78.688
Chennai,Block_1688,317776,84.0,24,156,11.3,13.2093,77.3694
Cuddalore,Block_1689,131673,82.7,47,185,5.0,8.6426,79.5078
Perambalur,Block_1690,289460,87.7,34,24,10.6,9.7357,76.5681
Salem,Block_1691,444772,89.4,45,172,10.6,9.0598,76.6845
Kanchipuram,Block_1692,270482,82.2,30,89,13.9,10.9833,76.2169
Thanjavur,Block_1693,381704,84.2,45,41,7.7,13.2679,78.2167
Viluppuram,Block_1694,99402,69.1,48,154,4.7,11.7303,79.2988
Viluppuram,Block_1695,373699,84.2,57,38,12.7,12.1898,77.6729
Tiruppur,Block_1696,143602,71.5,24,73,11.8,9.488,79.9858
Virudhunagar,Block_1697,221621,76.9,63,179,11.5,9.7204,77.0533
Viluppuram,Block_1698,157927,85.0,22,106,7.4,10.1674,79.0477
Tiruvarur,Block_1699,126452,79.5,16,127,5.6,12.3458,77.0368
Ramanathapuram,Block_1700,233526,82.5,70,29,9.6,10.1712,79.3695
Vellore,Block_1701,294573,71.6,70,110,14.0,12.2449,77.531
Thoothukudi,Block_1702,293390,91.3,67,161,12.7,10.8858,76.7937
Madurai,Block_1703,418731,91.3,41,47,7.2,9.6148,79.7706
Namakkal,Block_1704,329159,91.8,6,119,14.6,11.5049,80.4895
Nilgiris,Block_1705,458785,77.3,38,150,6.1,9.5691,77.3218
Dindigul,Block_1706,448389,89.5,38,149,4.8,13.0352,78.9351
Chennai,Block_1707,431885,68.6,54,165,10.2,13.1915,76.4766
Theni,Block_1708,401622,87.4,58,185,10.1,8.5227,79.1712
Coimbatore,Block_1709,363387,83.3,33,54,8.5,10.2403,80.0027
Tiruvarur,Block_1710,261595,85.8,66,71,12.2,12.2636,78.1914
Kanchipuram,Block_1711,382019,71.5,29,20,11.5,10.0895,76.7965
Thoothukudi,Block_1712,432846,84.4,69,71,11.5,9.6384,77.6666
Perambalur,Block_1713,342813,90.2,34,48,6.3,9.5211,77.5472
Dindigul,Block_1714,268336,88.3,27,71,8.9,13.1427,76.7305
Ramanathapuram,Block_1715,490643,80.4,73,166,13.0,8.9609,76.6988
Ramanathapuram,Block_1716,491330,87.8,56,98,14.1,12.6305,76.4361
Dindigul,Block_1717,134507,86.8,3,114,5.6,12.2212,79.1695
Tirunelveli,Block_1718,67287,86.4,37,196,7.7,13.4454,76.5961
Chennai,Block_1719,496422,68.6,47,171,14.8,8.4593,78.1466
Theni,Block_1720,299010,66.7,33,42,5.8,8.5877,78.0751
Virudhunagar,Block_1721,85146,91.2,34,160,11.2,12.673,76.6756
Virudhunagar,Block_1722,235770,92.0,66,67,3.3,12.1356,77.8683
Theni,Block_1723,478262,82.7,22,167,6.4,10.1553,78.4957
Vellore,Block_1724,488266,67.1,78,84,11.1,8.6964,77.5132
Dindigul,Block_1725,448845,80.7,22,64,9.4,13.0591,76.0108
Viluppuram,Block_1726,330785,70.7,41,186,12.8,10.2782,77.819
Karur,Block_1727,331391,67.5,35,83,9.8,10.7481,77.019
Thoothukudi,Block_1728,171796,87.3,78,42,5.6,13.3484,79.7406
Nagapattinam,Block_1729,289270,78.9,60,184,5.6,13.2966,79.9033
Thoothukudi,Block_1730,425929,78.1,31,104,7.0,9.7448,76.9497
Sivagangai,Block_1731,193100,81.9,51,66,11.4,9.0229,78.6537
Pudukkottai,Block_1732,61580,69.4,1,166,11.1,12.7641,79.7761
Trichy,Block_1733,345933,88.0,9,123,7.7,11.9906,76.0301
Trichy,Block_1734,259593,85.0,77,51,4.8,12.5019,78.5796
Tirunelveli,Block_1735,144762,70.5,11,45,14.2,10.7217,76.1512
Sivagangai,Block_1736,314486,67.1,74,48,9.9,8.4203,80.3788
Erode,Block_1737,339282,68.8,78,30,10.9,8.8309,79.0297
Viluppuram,Block_1738,405295,84.5,66,187,11.8,11.6292,76.8048
Karur,Block_1739,309405,73.1,65,178,12.0,11.5321,79.412
Ramanathapuram,Block_1740,236231,70.7,26,139,12.7,12.893,76.8703
Tiruppur,Block_1741,420270,66.1,49,170,5.1,12.2123,76.5682
Ariyalur,Block_1742,363871,84.2,77,137,6.5,12.8492,77.4506
Kanchipuram,Block_1743,455566,74.7,41,150,6.6,8.7918,78.884
Nilgiris,Block_1744,396820,85.8,60,67,3.3,8.2509,78.7077
Vellore,Block_1745,375716,65.7,41,124,5.1,8.8831,76.7774
Vellore,Block_1746,177453,88.0,58,195,14.1,9.8212,79.8192
Salem,Block_1747,165325,71.1,51,23,8.5,11.8981,79.828
Sivagangai,Block_1748,225466,67.1,55,81,7.0,9.1389,80.206
Tirunelveli,Block_1749,251930,86.1,57,148,13.2,10.4213,78.1151
Virudhunagar,Block_1750,372755,69.8,5,125,3.6,9.6671,77.2861
Virudhunagar,Block_1751,333515,88.7,57,53,5.4,12.9053,80.2596
Tiruvallur,Block_1752,218195,66.0,12,89,9.3,12.6708,78.5658
Krishnagiri,Block_1753,396922,69.6,73,32,4.3,13.306,78.3356
Thoothukudi,Block_1754,228408,68.0,23,143,3.3,12.497,79.8873
Tirunelveli,Block_1755,315781,91.3,7,41,8.1,11.6819,76.6883
Ramanathapuram,Block_1756,121365,83.7,20,60,12.0,9.0403,76.7905
Namakkal,Block_1757,349038,78.2,25,119,11.6,9.7415,77.2054
Madurai,Block_1758,480262,79.6,79,31,3.3,11.4578,80.3845
Virudhunagar,Block_1759,140212,71.4,74,27,4.9,12.6128,76.0795
Virudhunagar,Block_1760,490058,80.7,2,144,10.7,9.6517,78.0776
Tiruvallur,Block_1761,467751,77.0,66,111,13.9,8.0191,79.3786
Namakkal,Block_1762,387054,70.2,61,91,11.4,11.0837,80.338
Madurai,Block_1763,471806,70.0,6,45,14.0,12.8701,77.9004
Perambalur,Block_1764,325125,65.2,54,79,14.5,12.2831,76.4168
Tirunelveli,Block_1765,172942,65.8,72,115,13.9,12.269,78.7335
Dindigul,Block_1766,127493,90.4,22,182,6.5,10.9937,76.6474
Nagapattinam,Block_1767,143541,83.0,57,199,7.7,10.1898,76.3612
Sivagangai,Block_1768,90448,82.6,32,136,9.4,8.7629,78.8578
Viluppuram,Block_1769,476289,75.7,50,105,5.4,8.638,76.9177
Perambalur,Block_1770,203266,70.8,30,151,3.1,10.2733,76.4535
Viluppuram,Block_1771,184680,85.9,26,39,5.0,10.108,80.4239
Trichy,Block_1772,121512,90.0,77,113,10.7,11.1122,77.128
Chennai,Block_1773,160738,76.4,40,175,7.2,11.0551,76.6239
Perambalur,Block_1774,233366,90.2,40,36,11.8,9.5355,77.7119
Madurai,Block_1775,309516,88.5,61,83,13.9,11.7797,79.4389
Vellore,Block_1776,478247,73.5,25,85,13.2,9.6728,76.4237
Tiruvallur,Block_1777,406643,68.6,58,69,11.5,10.0105,79.485
Sivagangai,Block_1778,400202,83.7,40,135,6.3,13.4128,80.1066
Tiruvarur,Block_1779,217932,89.5,58,114,4.0,10.2694,77.2838
Coimbatore,Block_1780,484802,67.3,2,84,11.5,9.2752,76.0509
Cuddalore,Block_1781,129090,65.1,2,70,9.6,9.8551,80.3082
Tiruppur,Block_1782,97603,83.8,24,171,4.1,11.5634,76.195
Coimbatore,Block_1783,106040,70.3,34,180,9.6,11.1973,77.9715
Salem,Block_1784,348652,80.3,31,71,11.4,11.3814,80.1607
Karur,Block_1785,129188,67.7,0,150,13.8,11.6712,76.8848
Krishnagiri,Block_1786,225655,83.0,41,135,6.5,12.277,76.0326
Pudukkottai,Block_1787,406325,68.2,79,50,3.2,12.8038,80.132
Theni,Block_1788,364284,90.6,23,38,10.5,8.5285,78.3075
Dindigul,Block_1789,277831,70.0,17,155,10.1,9.4816,77.5883
Theni,Block_1790,497512,74.0,25,20,11.6,8.2979,79.8685
Sivagangai,Block_1791,163856,79.2,58,121,13.6,13.1736,79.4128
Krishnagiri,Block_1792,495303,78.3,46,117,12.9,11.9987,78.3215
Namakkal,Block_1793,228808,74.6,77,171,12.6,10.6473,76.8782
Ramanathapuram,Block_1794,131544,87.5,37,135,11.0,9.4869,76.6482
Pudukkottai,Block_1795,369830,80.2,54,184,3.6,12.3067,77.2657
Ramanathapuram,Block_1796,175311,72.9,64,184,7.0,10.6267,76.4071
Krishnagiri,Block_1797,74681,83.8,7,197,12.0,8.0835,78.0293
Ramanathapuram,Block_1798,425054,90.1,32,98,14.3,12.4949,77.1219
Virudhunagar,Block_1799,75659,87.0,36,133,7.3,9.249,77.8869
Nagapattinam,Block_1800,230994,89.6,78,186,3.3,11.8375,77.6414
Viluppuram,Block_1801,435216,68.5,74,92,7.5,12.6845,78.0014
Perambalur,Block_1802,146018,72.3,41,149,13.4,8.6274,77.3793
Tiruppur,Block_1803,484911,86.6,62,39,11.3,10.4657,79.8631
Kanchipuram,Block_1804,125806,87.5,20,147,9.9,9.7986,77.4233
Perambalur,Block_1805,401576,81.7,0,121,12.8,12.8489,79.2396
Chennai,Block_1806,460903,73.9,37,73,10.7,8.8805,78.5347
Karur,Block_1807,299856,74.4,52,96,8.6,13.1834,76.7148
Thanjavur,Block_1808,452481,70.1,40,67,7.1,10.9555,78.1306
Cuddalore,Block_1809,62098,80.2,75,80,14.7,12.6009,76.6374
Theni,Block_1810,243596,85.2,13,124,7.7,10.9035,77.3288
Viluppuram,Block_1811,156426,73.0,20,121,6.1,11.4081,77.656
Dindigul,Block_1812,251598,85.2,74,85,4.6,12.1359,77.6085
Madurai,Block_1813,311548,73.3,72,90,7.0,8.8346,79.2107
Madurai,Block_1814,460714,70.8,35,20,7.1,9.4836,77.5291
Tiruvallur,Block_1815,424727,70.3,39,96,9.2,10.3552,77.4154
Theni,Block_1816,248486,76.9,45,190,6.2,10.2737,78.8749
Nilgiris,Block_1817,102710,68.9,77,70,11.6,10.4343,79.5483
Vellore,Block_1818,265014,91.2,0,190,12.8,8.5601,78.7002
Vellore,Block_1819,392748,77.7,39,78,3.8,13.0558,79.9077
Coimbatore,Block_1820,252654,83.7,19,97,13.1,13.4577,76.5855
Thoothukudi,Block_1821,392935,91.3,39,199,10.2,13.4013,77.2773
Tiruvarur,Block_1822,335599,73.2,2,111,3.7,11.7996,78.765
Ariyalur,Block_1823,460344,74.6,57,44,9.6,8.3012,78.8176
Ariyalur,Block_1824,267240,78.5,23,31,4.7,10.7782,76.1999
Namakkal,Block_1825,128305,90.2,58,98,6.2,9.0437,80.3027
Sivagangai,Block_1826,286389,90.7,3,89,14.5,9.1509,76.4682
Cuddalore,Block_1827,159345,67.2,71,175,11.0,9.2587,77.9903
Tiruvallur,Block_1828,171716,91.4,18,194,7.0,8.028,76.5942
Dindigul,Block_1829,84321,83.9,32,45,12.0,11.8772,76.4645
Tiruvarur,Block_1830,476802,86.8,21,55,9.9,8.7135,80.4485
Coimbatore,Block_1831,153203,85.0,58,124,4.8,10.7188,78.0052
Kanchipuram,Block_1832,71341,72.3,26,196,14.6,12.4741,77.6812
Tiruppur,Block_1833,361106,70.6,2,79,14.8,10.6256,76.5056
Trichy,Block_1834,452057,72.6,47,45,8.1,12.3403,76.7985
Trichy,Block_1835,106428,84.8,70,64,4.2,12.848,76.7229
Coimbatore,Block_1836,287355,69.1,49,55,14.6,11.6956,80.1831
Ramanathapuram,Block_1837,116088,75.7,45,50,10.4,10.189,78.4765
Trichy,Block_1838,131357,84.0,80,76,4.0,8.4856,78.7469
Tiruvarur,Block_1839,324288,67.1,34,100,13.8,10.5022,79.3621
Salem,Block_1840,156980,71.8,71,127,11.4,13.4127,80.1357
Salem,Block_1841,367560,83.4,34,20,5.9,8.7434,76.9924
Kanchipuram,Block_1842,60072,76.3,50,151,11.2,8.0021,78.247
Perambalur,Block_1843,73039,74.0,57,104,4.8,13.2093,76.3671
Tirunelveli,Block_1844,279026,90.4,42,26,8.5,8.4299,76.1054
Dindigul,Block_1845,121489,69.6,70,123,14.9,10.588,76.8116
Perambalur,Block_1846,486086,75.5,34,196,5.6,8.8198,77.8345
Namakkal,Block_1847,309830,87.7,35,109,7.3,12.3213,79.2016
Namakkal,Block_1848,319351,89.6,38,58,10.3,10.5564,78.1538
Tirunelveli,Block_1849,62291,90.8,19,159,9.6,12.1298,80.1578
Krishnagiri,Block_1850,360679,65.8,72,107,9.9,8.1751,77.9043
Chennai,Block_1851,167163,83.5,25,100,8.6,12.7317,79.5572
Ramanathapuram,Block_1852,434219,88.4,53,173,8.0,11.9658,76.6022
Karur,Block_1853,111783,89.0,66,146,6.2,10.2672,78.7744
Thanjavur,Block_1854,383309,88.1,13,151,4.2,13.3364,77.0146
Sivagangai,Block_1855,146067,79.2,4,70,11.3,10.788,80.2365
Karur,Block_1856,90092,65.6,57,22,11.2,9.8707,78.4285
Karur,Block_1857,423523,71.3,20,93,6.7,12.9996,77.8065
Nagapattinam,Block_1858,240500,75.6,34,100,10.0,11.8558,77.1599
Karur,Block_1859,209683,67.9,40,32,6.9,11.9287,76.6359
Nagapattinam,Block_1860,102957,71.1,29,163,10.2,8.1322,77.7451
Dindigul,Block_1861,109248,91.3,74,33,4.8,12.8902,79.4892
Tirunelveli,Block_1862,454832,66.3,33,104,4.3,10.6338,76.2679
Ramanathapuram,Block_1863,469391,89.7,28,106,7.2,11.7853,79.0112
Perambalur,Block_1864,181571,70.4,51,178,5.4,10.3372,76.212
Kanchipuram,Block_1865,258118,65.0,64,124,13.6,11.7243,78.4534
Ariyalur,Block_1866,66910,91.4,53,51,7.4,8.4007,79.6932
Vellore,Block_1867,438118,91.5,71,129,12.5,11.546,79.2535
Madurai,Block_1868,493468,78.3,44,169,3.9,10.8867,79.8956
Viluppuram,Block_1869,401178,73.8,68,70,7.9,10.0311,77.5251
Thoothukudi,Block_1870,238896,88.0,49,82,13.9,8.5072,78.3261
Trichy,Block_1871,226034,71.6,14,146,13.2,12.4839,77.5143
Erode,Block_1872,74119,78.4,57,31,11.3,11.4896,76.1792
Salem,Block_1873,115080,68.9,39,72,7.0,10.0059,77.1069
Sivagangai,Block_1874,344426,69.7,21,166,6.6,9.8024,78.4932
Pudukkottai,Block_1875,301493,67.4,37,117,14.4,10.7801,76.9139
Thoothukudi,Block_1876,423799,85.1,9,142,8.6,13.2132,77.3388
Thanjavur,Block_1877,431722,86.1,5,133,3.5,9.4617,76.982
Salem,Block_1878,253660,65.6,5,61,14.5,11.9263,80.2502
Virudhunagar,Block_1879,140402,73.5,37,154,7.2,8.9399,77.9787
Thoothukudi,Block_1880,299848,69.0,41,113,14.6,8.5168,77.4975
Thanjavur,Block_1881,237423,85.1,28,173,14.9,8.1981,78.0231
Viluppuram,Block_1882,135793,78.6,77,124,11.0,10.0257,78.7686
Viluppuram,Block_1883,228074,72.6,41,128,13.0,9.4279,77.5891
Ramanathapuram,Block_1884,386515,88.2,36,59,8.1,8.1067,78.2142
Nagapattinam,Block_1885,241023,75.2,1,58,14.1,8.8512,80.0197
Virudhunagar,Block_1886,454792,91.3,16,173,7.2,10.2471,79.8922
Nagapattinam,Block_1887,154470,66.9,48,195,12.4,9.012,79.8939
